"Fecha","Marca","Locación","Canal","ID de la orden","Estado de la orden","Subtotal","Impuesto","Descuentos","Cargos por error en el pedido","Código de moneda"
"2023-10-31 23:15:19","Tepuy Basics","Goleta","ubereats","EBBB9","Entregado","30,6","0","0","0","EUR"
"2023-10-31 22:47:48","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","3B990","Entregado","29,1","0","0","0","EUR"
"2023-10-31 22:45:21","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AXRNAYCE","Entregado","16,8","0","0","0","EUR"
"2023-10-31 22:43:03","Tepuy Basics","Umbrella SH - Calle Linares","glovo","ATMFTV6J","Entregado","19,7","0","0","0","EUR"
"2023-10-31 22:27:50","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BGM3ERAC","Entregado","29,2","0","-10","0","EUR"
"2023-10-31 22:26:36","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AJ1HZ6UY","Entregado","28,1","0","0","0","EUR"
"2023-10-31 22:20:54","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AGJCV2XE","Entregado","27,2","0","0","0","EUR"
"2023-10-31 22:19:49","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ARCN4GRB","Entregado","15,1","0","0","0","EUR"
"2023-10-31 22:16:41","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","ubereats","5F9A7","Entregado","73,6","0","0","0","EUR"
"2023-10-31 22:11:50","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BDFNQDZN","Entregado","36,4","0","0","0","EUR"
"2023-10-31 22:10:13","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","ALN9LLGY","Entregado","17,3","0","0","0","EUR"
"2023-10-31 22:07:30","Tepuy Basics","Goleta","glovo","AUVXTYLB","Entregado","25","0","0","0","EUR"
"2023-10-31 22:02:14","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BYA17Z7P","Entregado","54","0","0","0","EUR"
"2023-10-31 21:59:39","Tepuy Basics","Goleta","glovo","A1ZGJGDE","Entregado","41,2","0","0","0","EUR"
"2023-10-31 21:55:32","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A8F8RUD8","Entregado","27,6","0","0","0","EUR"
"2023-10-31 21:54:02","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AH7QBA96","Entregado","28,8","0","0","0","EUR"
"2023-10-31 21:49:27","Tepuy Basics","Umbrella SH - Calle Linares","glovo","AJUTLUFL","Entregado","32,7","0","0","0","EUR"
"2023-10-31 21:45:04","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A1U31LPS","Entregado","28,6","0","0","0","EUR"
"2023-10-31 21:40:57","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","ubereats","AFE30","Entregado","15,3","0","0","0","EUR"
"2023-10-31 21:35:50","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B8YH1ZPL","Entregado","17,7","0","0","0","EUR"
"2023-10-31 21:33:31","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AFYNLBCB","Entregado","71,8","0","0","0","EUR"
"2023-10-31 21:30:24","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AUGU1RAH","Entregado","28,5","0","0","0","EUR"
"2023-10-31 21:26:27","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AHJR3SGR","Entregado","46,1","0","-6","0","EUR"
"2023-10-31 21:26:14","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BPRPWH6S","Entregado","28,8","0","0","0","EUR"
"2023-10-31 21:14:14","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BBC1HNSQ","Entregado","36,7","0","0","0","EUR"
"2023-10-31 21:05:58","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","7355F","Entregado","25,6","0","0","0","EUR"
"2023-10-31 21:03:49","Tepuy Basics","Goleta","glovo","APLBVZ8E","Entregado","28,5","0","0","0","EUR"
"2023-10-31 21:01:25","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","A1MUXSF3","Entregado","35,2","0","0","0","EUR"
"2023-10-31 20:59:53","Tepuy Basics","Goleta","glovo","ANY1LHQL","Entregado","41","0","0","0","EUR"
"2023-10-31 20:47:53","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","9F5FF","Entregado","18,2","0","0","0","EUR"
"2023-10-31 20:41:26","Tepuy Basics","Goleta","ubereats","C1D54","Entregado","19,3","0","0","0","EUR"
"2023-10-31 20:38:24","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","AURHNJSF","Entregado","17","0","0","0","EUR"
"2023-10-31 20:26:59","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BL1K6YSH","Entregado","32,2","0","0","0","EUR"
"2023-10-31 20:23:18","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","AC3C8","Entregado","28,7","0","0","0","EUR"
"2023-10-31 20:20:33","Tepuy Basics","Goleta","glovo","A1C1U8RA","Entregado","36","0","0","0","EUR"
"2023-10-31 20:18:59","Tepuy Basics","Goleta","glovo","AH2V1XQ1","Entregado","24","0","0","0","EUR"
"2023-10-31 20:18:07","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BPA27KH1","Entregado","42,1","0","0","0","EUR"
"2023-10-31 20:16:37","Tepuy Basics","Goleta","glovo","ACDYUQQE","Entregado","34,2","0","0","0","EUR"
"2023-10-31 20:05:34","Tepuy Basics","Goleta","glovo","AYP7VPEQ","Entregado","11,2","0","0","0","EUR"
"2023-10-31 20:01:26","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","ABX9X1PR","Entregado","15,7","0","0","0","EUR"
"2023-10-31 15:40:03","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","0471D","Entregado","14,3","0","0","0","EUR"
"2023-10-31 15:28:13","Tepuy Basics","Goleta","glovo","APJ18S1M","Entregado","18,5","0","-3,7","0","EUR"
"2023-10-31 15:22:09","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AW3LXMZU","Entregado","20,3","0","-9,2","0","EUR"
"2023-10-31 15:02:57","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A17EJRKZ","Entregado","60,2","0","-28,6","0","EUR"
"2023-10-31 15:01:43","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BUPRPX1T","Entregado","33","0","0","0","EUR"
"2023-10-31 14:44:56","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B77UV255","Entregado","28,6","0","0","0","EUR"
"2023-10-31 14:41:20","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AW1AJKDV","Entregado","53,4","0","-26,7","0","EUR"
"2023-10-31 14:40:56","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BVEAYVQQ","Entregado","15,7","0","0","0","EUR"
"2023-10-31 14:40:53","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","A4497","Entregado","30,8","0","0","0","EUR"
"2023-10-31 14:26:53","Tepuy Basics","Goleta","glovo","ARMNBCQU","Entregado","23,7","0","0","0","EUR"
"2023-10-31 14:25:44","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B9GMH9BS","Entregado","12,3","0","-12","0","EUR"
"2023-10-31 14:24:06","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","glovo","AFNDJUYN","Entregado","32,2","0","-6,12","0","EUR"
"2023-10-31 14:23:08","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","A9DDA","Entregado","13,9","0","0","0","EUR"
"2023-10-31 13:47:20","Tepuy Burger","Tepuy Burger - Benidorm","glovo","B6BPWKYB","Entregado","14,3","0","0","0","EUR"
"2023-10-31 13:06:41","Tepuy Basics","EMEA - SP - MAD - Tetuan","ubereats","C4786","Entregado","19,7","0","0","0","EUR"
"2023-10-30 23:08:30","Tepuy Basics","EMEA - SP - MAD - Tetuan","glovo","MBJDPKJ6","Entregado","17,1","0","-3,18","0","EUR"
"2023-10-30 22:40:56","Tepuy Basics","EMEA - SP - MAD - Salamanca","glovo","MZ3LBYLF","Entregado","13,9","0","-2,78","0","EUR"
"2023-10-30 22:11:07","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AM1MX2WY","Entregado","59,6","0","0","0","EUR"
"2023-10-30 22:05:30","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AGDWN5FS","Entregado","24","0","-3","0","EUR"
"2023-10-30 22:04:56","Tepuy Basics","EMEA - SP - MAD - Tetuan","glovo","M471G3KG","Entregado","15,9","0","-3,18","0","EUR"
"2023-10-30 21:53:13","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AJ4XVLHG","Entregado","72","0","0","0","EUR"
"2023-10-30 21:34:53","Tepuy Basics","Goleta","glovo","AP9RLUXA","Entregado","39","0","0","0","EUR"
"2023-10-30 21:15:22","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","2D87C","Entregado","15,4","0","0","0","EUR"
"2023-10-30 21:02:01","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A5EHL6DP","Entregado","36,6","0","0","0","EUR"
"2023-10-30 20:52:08","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BZN432SJ","Entregado","38,4","0","0","0","EUR"
"2023-10-30 20:47:07","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","A8W57CHT","Entregado","18,2","0","0","0","EUR"
"2023-10-30 20:37:36","Tepuy Basics","Umbrella SH - Calle Linares","glovo","ATLQHMDD","Entregado","18","0","0","0","EUR"
"2023-10-30 20:35:20","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BHQP1QGF","Entregado","47","0","0","0","EUR"
"2023-10-30 20:22:19","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","ADNBU1HZ","Entregado","44,4","0","0","0","EUR"
"2023-10-30 20:20:16","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ARJXFHJK","Entregado","18,4","0","0","0","EUR"
"2023-10-30 15:57:48","Tepuy Basics","Goleta","glovo","AZB1Q2U8","Entregado","19,7","0","-3,7","0","EUR"
"2023-10-30 14:32:56","Tepuy Basics","Goleta","glovo","A1YYH1UP","Entregado","33,8","0","-2,52","0","EUR"
"2023-10-30 14:15:59","Tepuy Basics","Umbrella SH - Calle Linares","glovo","A1NLHXP1","Entregado","29,4","0","-3,7","0","EUR"
"2023-10-29 23:36:54","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","2E792","Entregado","29,8","0","0","0","EUR"
"2023-10-29 23:14:56","Tepuy Basics","Goleta","glovo","AJ1WTWBV","Entregado","31,6","0","0","0","EUR"
"2023-10-29 22:43:29","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AXURKH8M","Entregado","76,8","0","0","0","EUR"
"2023-10-29 22:35:21","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","ABJUT5LD","Entregado","17,2","0","0","0","EUR"
"2023-10-29 22:19:16","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","90D39","Entregado","15,1","0","0","0","EUR"
"2023-10-29 21:54:22","Tepuy Basics","EMEA - SP - MAD - Salamanca","ubereats","DD857","Entregado","27,8","0","0","0","EUR"
"2023-10-29 21:52:09","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","A5CXTMM5","Entregado","38,3","0","0","0","EUR"
"2023-10-29 21:39:21","Tepuy Burger","Tepuy Burger - Benidorm","glovo","BQFV82SW","Entregado","24,9","0","0","0","EUR"
"2023-10-29 21:39:16","Tepuy Burger","Tepuy Burger - Benidorm","ubereats","1589B","Entregado","31","0","0","0","EUR"
"2023-10-29 21:25:31","Tepuy Burger","Tepuy Burger - Calle Bazan","glovo","AAQMJHBZ","Entregado","22,1","0","0","0","EUR"
"2023-10-29 21:25:17","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","glovo","AWW6FY4L","Entregado","14,6","0","0","0","EUR"
