"Fecha","Marca","Locación","Canal","ID de la orden","Estado de la orden","Subtotal","Impuesto","Descuentos","Cargos por error en el pedido","Código de moneda"
"2023-10-31 22:35:54","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","C8C62","Entregado","51,5","0","0","0","EUR"
"2023-10-31 20:44:13","Tepuy Burger","Tepuy Burger - Benidorm","gloria-foods","776901362","Entregado","27,3","2,48","0","0","EUR"
"2023-10-29 13:54:16","Tepuy Burger","Tepuy Burger - Benidorm","gloria-foods","775906135","Entregado","36","3,27","0","0","EUR"
"2023-10-27 20:43:44","Tepuy Burger","Tepuy Burger - Benidorm","gloria-foods","775011685","Entregado","43,8","3,98","0","0","EUR"
"2023-10-26 21:59:03","Tepuy Burger","Tepuy Burger - Benidorm","gloria-foods","774547195","Entregado","29,2","2,84","0","0","EUR"
"2023-10-22 20:54:17","Tepuy Burger","Tepuy Burger - Benidorm","gloria-foods","772967919","Entregado","25,1","2,28","0","0","EUR"
"2023-10-22 13:53:28","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","7B62D","Entregado","26,8","1,22","-13,4","0","EUR"
"2023-10-21 22:20:29","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","ubereats","5F2FF","Entregado","16,9","1,54","0","0","EUR"
"2023-10-21 21:25:10","Tepuy Basics","Umbrella SH - Calle Linares","ubereats","B4BC2","Entregado","35,8","1,77","-16,3","0","EUR"
"2023-10-21 20:26:19","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","ubereats","5B6CE","Entregado","38","2,06","-15,3","0","EUR"
"2023-10-20 23:11:06","Tepuy Burger","Tepuy Burger - Benidorm","gloria-foods","771948379","Entregado","30,2","2,75","0","0","EUR"
"2023-10-20 22:48:57","Tepuy Basics","Goleta","ubereats","F1A9B","Entregado","34","1,7","-15,3","0","EUR"
"2023-10-20 22:22:38","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","BD6DE","Entregado","26,8","1,22","-13,4","0","EUR"
"2023-10-20 21:49:07","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","080E7","Entregado","26,8","1,22","-13,4","0","EUR"
"2023-10-19 22:28:04","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","ubereats","F7A74","Entregado","30,2","1,53","-13,4","0","EUR"
