createdtimeutc,location,orderid,channel,status,type,payment,paymentamount,deliverycost,discounttotal,tip,drivertip,subtotal,vat
2023-10-31 21:31:15,Alicante - Bazan,138509659,Just Eat,ACCEPTED,DELIVERY,CARD,85.39,1.99,0.0,0.0,0.0,83.4,7.57
2023-10-31 21:02:26,Alicante - Periodista Rodolfo Salazar,138502564,Just Eat,DELIVERED,DELIVERY,CARD,41.89,1.99,0.0,0.0,0.0,39.9,3.62
2023-10-29 20:20:15,Alicante - Periodista Rodolfo Salazar,138409768,Just Eat,DELIVERED,DELIVERY,CARD,31.09,1.99,0.0,0.0,0.0,29.1,2.65
2023-10-29 19:53:10,Alicante - Periodista Rodolfo Salazar,138402233,Just Eat,DELIVERED,DELIVERY,CARD,19.69,1.99,0.0,0.0,0.0,17.7,1.61
2023-10-29 19:28:17,Alicante - Periodista Rodolfo Salazar,138390234,Just Eat,DELIVERED,DELIVERY,CARD,15.99,2.99,0.0,0.0,0.0,13.0,1.19
2023-10-28 19:23:22,Alicante - Bazan,138319436,Just Eat,ACCEPTED,DELIVERY,CARD,17.49,1.99,0.0,0.0,0.0,15.5,1.41
2023-10-28 19:00:52,Alicante - Periodista Rodolfo Salazar,138316697,Just Eat,DELIVERED,DELIVERY,CARD,28.79,1.99,0.0,0.0,0.0,26.8,2.44
2023-10-28 18:59:45,Alicante - Periodista Rodolfo Salazar,138311393,Just Eat,DELIVERED,DELIVERY,CARD,42.89,1.99,0.0,0.0,0.0,40.9,3.72
2023-10-28 13:18:43,Alicante - Periodista Rodolfo Salazar,138292558,Just Eat,DELIVERED,DELIVERY,CARD,48.49,1.99,0.0,0.0,0.0,46.5,4.23
2023-10-28 11:59:39,Alicante - Bazan,138283638,Just Eat,ACCEPTED,DELIVERY,CARD,30.79,1.99,0.0,0.0,0.0,28.8,2.62
2023-10-27 19:32:50,Alicante - Bazan,138253067,Just Eat,DELIVERED,DELIVERY,CARD,30.79,1.99,0.0,0.0,0.0,28.8,2.62
2023-10-27 17:46:58,Alicante - Bazan,138225171,Just Eat,DELIVERED,DELIVERY,CARD,21.39,1.99,0.0,0.0,0.0,19.4,1.76
2023-10-26 19:14:19,Alicante - Periodista Rodolfo Salazar,138193344,Just Eat,DELIVERED,DELIVERY,CARD,31.99,1.99,0.0,0.0,0.0,30.0,2.73
2023-10-26 19:13:39,Alicante - Periodista Rodolfo Salazar,138193373,Just Eat,DELIVERED,DELIVERY,CARD,33.69,1.99,0.0,0.0,0.0,31.7,2.89
2023-10-23 20:35:14,Alicante - Periodista Rodolfo Salazar,138092974,Just Eat,DELIVERED,DELIVERY,CARD,28.49,1.99,0.0,0.0,0.0,26.5,2.41
2023-10-22 18:59:39,Alicante - Periodista Rodolfo Salazar,138041729,Just Eat,DELIVERED,DELIVERY,CARD,32.39,1.99,0.0,0.0,0.0,30.4,2.76
2023-10-22 18:59:13,Alicante - Periodista Rodolfo Salazar,138036409,Just Eat,DELIVERED,DELIVERY,CARD,17.99,1.99,0.0,0.0,0.0,16.0,1.46
2023-10-22 18:43:38,Alicante - Periodista Rodolfo Salazar,138033638,Just Eat,DELIVERED,DELIVERY,CARD,17.79,1.99,0.0,0.0,0.0,15.8,1.44
