fecha,marca,local,canal,id_orden,estado_orden,subtotal,impuesto,descuento
2023-11-03 15:55:55,Umbrella SH,EMEA - SP - MAD - Tetuan,justeat,138656463,Nuevo,10,0,0
2023-11-03 15:49:40,Umbrella SH,EMEA - SP - MAD - Tetuan,justeat,138656912,Nuevo,"22,4",0,0
2023-11-03 15:49:02,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MSDGW9UM,Entregado,"10,4",0,0
2023-11-03 15:48:41,Umbrella SH,Umbrella SH - Calle Linares,ubereats,8D40B,Nuevo,"36,6",0,"-13,9"
2023-11-03 15:44:25,Umbrella SH,Goleta,ubereats,DF131,Entregado,"31,8",0,"-13,9"
2023-11-03 15:43:45,Umbrella SH,Umbrella SH - Calle Linares,ubereats,976D9,Nuevo,"12,5",0,0
2023-11-03 15:43:11,Umbrella SH,Umbrella SH - Calle Linares,ubereats,C25C1,Nuevo,"25,8",0,"-11,9"
2023-11-03 15:42:43,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,C3C47,Nuevo,"31,8",0,"-13,9"
2023-11-03 15:27:38,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,F2A00,Entregado,"34,4",0,"-13,9"
2023-11-03 15:10:11,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,EDD59,Entregado,"39,8",0,"-13,9"
2023-11-03 15:05:53,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,3F9C7,Entregado,"25,5",0,0
2023-11-03 15:05:52,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MXYWABLN,Entregado,"46,8",0,0
2023-11-03 15:03:35,Umbrella SH,EMEA - SP - MAD - Salamanca,glovo,MHLBMX4X,Entregado,"9,7",0,0
2023-11-03 15:01:13,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,3AFCF,Entregado,"15,3",0,0
2023-11-03 14:52:46,Umbrella SH,Goleta,ubereats,7899A,Nuevo,"45,8",0,"-13,9"
2023-11-03 14:47:12,Umbrella SH,Tepuy Burger - Benidorm,glovo,BUTBTZLY,Entregado,"21,2",0,0
2023-11-03 14:46:46,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AULRBGNM,Entregado,"26,9",0,0
2023-11-03 14:41:39,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,87C09,Entregado,"31,8",0,"-13,9"
2023-11-03 14:40:15,Tepuy Burger,Tepuy Burger - Benidorm,glovo,B1YBHZJW,Entregado,"51,5",0,0
2023-11-03 14:36:51,Umbrella SH,Goleta,ubereats,9A236,Nuevo,"39,8",0,"-13,9"
2023-11-03 14:27:51,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,C6AE1,Entregado,"41,7",0,0
2023-11-03 14:26:38,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MNMETAP1,Entregado,"16,9",0,0
2023-11-03 14:23:06,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,ALMVLKTB,Entregado,"26,9",0,0
2023-11-03 14:20:15,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,BC629,Entregado,39,0,"-13,9"
2023-11-03 14:09:18,Umbrella SH,Umbrella SH - Calle Linares,ubereats,B7363,Nuevo,"45,8",0,"-13,9"
2023-11-03 14:05:45,Umbrella SH,Goleta,gloria-foods,778028099,Entregado,"37,7",0,0
2023-11-03 14:05:03,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MNCUXJGD,Entregado,"32,9",0,0
2023-11-03 13:59:16,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,B46AA,Entregado,"42,8",0,"-13,9"
2023-11-03 13:51:16,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,ACAF6,Entregado,"37,8",0,"-13,9"
2023-11-03 13:51:00,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,AC330,Entregado,"23,7",0,0
2023-11-03 13:48:47,Umbrella SH,Tepuy Burger - Benidorm,glovo,BNBJMU7A,Entregado,"11,1",0,0
2023-11-03 13:47:11,Umbrella SH,Umbrella SH - Calle Linares,ubereats,5580C,Nuevo,"38,2",0,"-13,9"
2023-11-03 13:46:42,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,0C2C6,Entregado,"37,4",0,"-13,9"
