created_datetime,brand,location,channel,id_order,status,subtotal,vat,discount
2023-11-03 14:46:46,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AULRBGNM,Entregado,26.9,0.0,0.0
2023-11-03 14:40:15,Tepuy Burger,Tepuy Burger - Benidorm,glovo,B1YBHZJW,Entregado,51.5,0.0,0.0
2023-11-03 14:23:06,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,ALMVLKTB,Entregado,26.9,0.0,0.0
2023-11-02 22:32:27,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BXVJAQHE,Entregado,40.9,0.0,0.0
2023-11-02 22:28:20,Tepuy Burger,Tepuy Burger - Calle Bazan,glovo,ABUGGFKZ,Cancelado,20.4,0.0,0.0
2023-11-02 22:04:30,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AMJA5BSJ,Entregado,11.2,0.0,0.0
2023-11-02 21:59:42,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,ASV9UL3S,Entregado,27.0,0.0,0.0
2023-11-02 21:54:07,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AJ3BTUAP,Entregado,14.9,0.0,0.0
2023-11-02 21:49:47,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,ubereats,F0936,Nuevo,34.5,0.0,0.0
2023-11-02 21:14:05,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BP1PJXPT,Entregado,30.7,0.0,0.0
2023-11-02 20:53:38,Tepuy Burger,Tepuy Burger - Benidorm,gloria-foods,777744476,Entregado,16.4,1.49,0.0
2023-11-02 20:40:42,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,ubereats,80EB3,Nuevo,12.2,0.0,0.0
2023-11-02 20:30:43,Tepuy Burger,Tepuy Burger - Calle Bazan,glovo,ANNR4QHL,Entregado,16.0,0.0,0.0
2023-11-02 20:27:39,Tepuy Burger,Tepuy Burger - Benidorm,glovo,B91ZG23U,Entregado,39.0,0.0,0.0
2023-11-02 20:26:05,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BNLLAXZ4,Entregado,25.2,0.0,0.0
2023-11-02 20:22:53,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AY29R9UE,Entregado,30.2,0.0,0.0
2023-11-02 20:21:58,Tepuy Burger,Tepuy Burger - Benidorm,ubereats,A3FE7,Entregado,28.8,0.0,0.0
2023-11-02 20:11:40,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BVQVYDKN,Entregado,14.9,0.0,0.0
2023-11-02 19:57:14,Tepuy Burger,Tepuy Burger - Calle Bazan,gloria-foods,777709666,Nuevo,34.3,0.0,0.0
2023-11-02 15:42:51,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BLPAZXJQ,Entregado,44.8,0.0,0.0
2023-11-02 15:15:41,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,ubereats,95819,Nuevo,51.4,0.0,0.0
